start	end	text
459440	462480	würde sie vielleicht nicht zu attraktiv sein lassen,
462560	464880	damit sie dann eben auch keinen Verdacht erregen.
464960	466600	Und dann würde ich einfach abwarten,
466680	469080	dann würde ich so ein halbes Jahr oder Jahr warten.
469160	472400	Und das lohnt sich dann eben auch, weil ich dann nach einem Jahr sagen kann,
472480	475880	okay, jetzt habe ich ausreichend Server in dieses Netzwerk eingespeist.
475880	478080	Und dann würde ich anfangen, Leute aufzudecken.
478160	481080	Das Tor-Projekt hat auf die Neuigkeiten im Fall Boys Town
481160	483640	sofort in einem Blogpost reagiert.
483720	486160	Tor sei weiterhin technisch sicher.
486240	490440	Der Ermittlungserfolg und die Deanonymisierung des Plattformbetreibers
490520	494120	sei vermutlich auf die Verwendung des veralteten Messengers,
494200	498760	Ricochet oder anderer veralteter Software zurückzuführen.
498840	503200	Inzwischen hat Tor einen neuen Schutz namens Vanguard eingeführt,
503280	508440	der genau gegen die im Ermittlungsverfahren verwendeten Timing-Analysen helfen soll.
508520	512400	Pavel Tsonev vom Tor-Projekt gibt deshalb Entwarnung,
512480	515320	räumt aber zugleich ein, dass den Tor-Verantwortlichen
515400	518400	noch nicht völlig klar sei, ob es noch weitere,
518480	521640	bislang unbekannte Design-Schwächen geben könnte.
521720	524120	Was nach wie vor für uns spannend ist,
524200	526520	ein bisschen mehr Hintergründe zu erfahren,
526600	529800	hoffentlich im Rahmen unserer eigenen Recherchen und Analysen,
529800	534080	die wir da anstellen, wie genau dieser Eingangsknoten entdeckt wurde.
534160	537400	Da sind die Tor-Aktivisten sich noch immer nicht sicher,
537480	540320	ob die Sache vollkommen geklärt ist, oder, Michael?
540400	544840	Ja, das stimmt. Ich will das auch nicht vollkommen klären können.
544920	548960	Ich habe keinen Zugang zu Non-Disclosure-Informationen bekommen
549040	551400	und auch gar nicht versucht, die zu bekommen.
551480	555200	Ich habe aus meinen Gesprächen mit Matthias Fassel vom CISPA,
555280	557880	mit Joachim Selzer vom Chaos-Computer-Club
557960	560960	und auch mit der Kölner Cyber-Staatsanwaltschaft
561040	563400	zack insgesamt den Eindruck gewonnen,
563480	567240	es gibt vermutlich keine neue unbekannte Schwäche im Tor-Design,
567320	571040	die sozusagen einen General-Schlüssel für Ermittler darstellen würde.
571120	573360	Was die wissenschaftliche Community angeht,
573440	577480	die versucht ja permanent, neue Korrelationsanalysen zu entwickeln,
577560	579760	aber um Tor sicherer zu machen.
579840	582440	Was den CCC angeht, der ist natürlich grundsätzlich
582520	584000	auf der Seite von Privacy.
584080	587520	Da würde ich mal trotz irgendwelcher Verschwiegenheitsvereinbarungen
587600	591200	vermuten, wenn es ein dramatisches, ungestopftes Sicherheitsproblem
591280	595560	bei Tor geben sollte, dann würden sie das vermutlich irgendwie signalisieren.
595640	597480	Was die Ermittlungsbehörden angeht,
597560	600360	wenn es diese fundamentale Lücke geben sollte,
600440	602640	dann würden die kriminellen Darknet-Plattformen
602720	605760	nicht nur sporadisch, sondern am laufenden Band auffliegen.
605840	610200	Das ist ein gutes Stichwort, denn am Dienstag hat ja die Polizei Duisburg
610240	613720	das Innen- und Justizministerium und eben auch die Zentrale
613800	617200	und Ansprechstelle Cybercrime in Nordrhein-Westfalen
617280	620440	wieder einen Ermittlungserfolg in einer großen Pressekonferenz
620520	623640	bekannt gegeben. Da ist wiederum eine Plattform im Darknet,
623720	627840	also damit auch im Tornetz enttarnt und geschlossen worden.
627920	631080	Betreiber und eine Reihe von Nutzern wurden identifiziert.
631160	634800	NRW-Justizminister Benjamin Limbach wird da mit der Botschaft
634880	637040	an potenzielle Täter zitiert,
637120	640120	Ihr könnt euch nicht verstecken, nicht hinter vier Wänden,
640200	643680	nicht hinter einem Pseudonym und auch nicht im Darknet.
643760	646760	War das etwa ein weiterer Hinweis auf technische Möglichkeiten
646840	650480	der Ermittler oder etwaige Schwächen bei Tor?
650560	653160	Also ich glaube nicht. Ich habe den Fall gestern
653240	656760	nochmal mit der Staatsanwaltschaft Köln bzw. dem ZAK besprochen.
656840	660480	Und hier sieht es wirklich nach klassischer Polizeiarbeit aus.
660560	664600	Da war bei Ermittlungen in Bayern eine Person mit Wohnsitz Duisburg
664640	668280	als möglicher Nutzer einer Darknet-Missbrauchsplattform aufgefallen.
668360	671560	Dann hat die Polizei in NRW dort eine Durchsuchung durchgeführt.
671640	675560	Und der Verdächtige war offenbar auch räuhig und kooperativ
675640	679000	und hat eine Menge Zugangspasswörter zu entsprechenden Accounts
679080	682280	rausgerückt. Und darüber hat man wieder weitere Personen
682360	684080	und Strukturen ermitteln können.
684160	686600	Das ist, glaube ich, auch nochmal eine ganz wichtige Erkenntnis.
686680	689280	Ermittlungserfolge sind eben trotz Tor
689360	692280	und übrigens auch trotz Messenger End-zu-End-Verschlüsselung
692360	694080	weiterhin möglich.
694160	696440	Wie verletzlich ist das Tor-Netzwerk?
696520	699000	Darüber sprach ich mit Michael Gessert. Danke.
709400	710920	Das ist schon ziemlich auffällig.
711000	714120	Wann immer zurzeit Neuheiten oder technologische Entwicklungen
714200	717880	angepriesen werden, dann ist auch immer KI mit im Spiel.
718320	722400	Künstliche Intelligenz ist nicht nur eine ziemlich alte Disziplin
722440	725000	der Informatik, die gerade mal vor zwei Jahren
725080	727960	so richtig aus dem Dornröschenschlaf erwacht ist,
728040	730920	sondern auch ein Trendthema und ein Buzzword,
731000	735240	das offenbar nahezu automatisch Türen in viele Richtungen öffnet.
735320	737520	Kein Wunder also, dass KI im Überfluss
737600	739640	für alles Mögliche bemüht wird.
739720	744440	Aber dass nun ausgerechnet auch im alt ehrwürdigen Nobelpreis KI
744520	747720	mit drin ist, frankrothelischen, musste das wirklich sein?
747800	750680	Ja, offenbar schon, denn das Nobelpreiskomitee in Stockholm
750760	754000	hat am Mittwoch gleich noch einen weiteren Nobelpreis
754080	757040	und nicht nur den Physiknobelpreis für ein KI-Thema springen lassen.
757120	758840	Auch den Nobelpreis für Chemie.
758920	760280	Da geht es um einen Algorithmus,
760360	763720	der die Form von Proteinen präziser ausrechnen kann.
763800	766120	Wichtig etwa für die Suche nach neuen Medikamenten.
766200	768080	Ja, und zwei der drei Chemielauriaten
768160	771960	kommen von Google, DeepMind, also der KI-Schmiede von Google.
772040	776160	Ja, und dass das Nobelpreiskomitee so munter mitmacht bei diesem KI-Hype,
776240	777920	das mag vielleicht damit zu tun haben,
778000	780000	dass man ihm schon öfter vorgeworfen hat,
780040	782440	eben allzu alt ehrwürdig unterwegs zu sein
782520	786640	und Errungenschaften auszuzeichnen, die schon Jahrzehnte her sind
786720	789440	und mit unserem Alltag vielleicht gar nicht so viel zu tun haben.
789520	792120	Ja, und vielleicht wollte das Komitee nun ganz deutlich zeigen,
792200	795200	hey, wir sind auf der Höhe der Zeit und zeichnen was aus,
795280	797080	was unsere Gesellschaft wirklich prägt.
797160	800040	Da könnte man aber einwenden, dass die Arbeiten ja,
800120	802600	zumindest der beiden Physikpreisträger,
802680	806240	auch schon etwas länger her sind, aus den 80er Jahren.
806320	808240	Aber reden wir drüber, was haben die gemacht
808280	811840	und warum ist es für die heutigen KI-Systeme so wichtig?
811920	814080	Ja, also der ältere der beiden, John Hopfield,
814160	818120	hat sich in den frühen 80er Jahren mit neuronalen Netzwerken befasst.
818200	821000	Das sind Programme, die die Funktion des menschlichen Gehirns
821080	824120	quasi imitieren, also da gibt es sogenannte Knoten,
824200	825960	das sind künstliche Neuronen,
826040	828040	die sind miteinander verbunden wie im Hirn
828120	830000	und können sich gegenseitig beeinflussen
830080	832440	und diese Verbindungen, die können sich verändern,
832520	834200	können also z.B. stärker werden,
834280	836760	wenn zwei Knoten oft miteinander agieren.
836840	838960	Ja, und das macht den Computer lernfähig.
839040	841600	Man spricht also auch von Machine Learning.
841680	845440	Und John Hopfield hat diese neuronalen Netzwerke erfunden?
845520	850080	Ja, das nicht, aber er hat 1982 eine Art assoziatives Gedächtnis
850160	852840	basierend auf einem neuronalen Netz entwickelt
852920	855840	und das kann nicht nur bekannte Bilder erkennen,
855920	859000	wie vorher die Systeme, sondern wenn ihm ein unvollständiges
859080	861400	oder irgendwie verzerrtes Bild gegeben wird,
861480	864040	dann kann die Methode ein abgespeichertes Bild finden,
864120	865280	das ihm ähnlich ist.
865280	867640	Ja, und das Verfahren ließ sich dann verwenden,
867720	870400	um beschädigte Daten oder Bilder wiederherzustellen.
870480	874920	Was hat denn der zweite Preisträger Joffrey Hinton vollbracht?
875000	877480	Ja, der hat die neuronalen Netzwerke weiterentwickelt
877560	879920	zu dem, was man heute Deep Learning nennt.
880000	883720	Da tastet sich das neuronale Netz Schicht für Schicht immer tiefer vor
883800	886920	und kann dadurch Bilder erkennen, die es nie zuvor gesehen hat.
887000	889040	Also Beispiel, man will dem Computer beibringen,
889120	891560	Katzenbilder von Hundebildern zu unterscheiden.
891640	895080	Dazu trainiert man ihn mit vielen Katzen- und Hundefotos
895160	899040	und zuerst lernt die KI einfache Dinge wie Linien oder Kanten.
899120	900840	Und bei weiteren Durchgängen lernt sie dann,
900920	902960	wie die Kombinationen dieser Linien aussehen,
903040	904680	zum Beispiel Ohren oder Augen.
904760	907160	Ja, und am Ende kann die KI dann von selbst entscheiden,
907240	910080	ob ein Bild eine Katze zeigt oder ein Hund.
910760	912160	Ich hatte ja eingangs schon gesagt,
912240	915840	dass KI eigentlich eine ziemlich alte Disziplin der Informatik ist.
915920	919920	Aber warum hat es seit diesen Arbeiten aus den 80er Jahren
920000	923840	so lange gedauert, bis KI wirklich den Durchbruch dann schaffte?
923920	925480	Ja, also damals in den 80er Jahren,
925560	927360	da waren die Rechner noch viel zu langsam
927440	929680	und die Datenspeicher auch waren viel zu klein.
929760	932920	Also John Hopfield zum Beispiel verwendete damals ein Netzwerk
933000	937200	mit 30 künstlichen Neuronen und knapp 500 Parametern.
937280	939880	Mehr ging mit den damaligen Rechnern einfach nicht.
939960	942480	Heute arbeiten Sprachmodelle wie ChetGPT
942560	945200	mit mehr als einer Billion Parametern.
945280	948240	Und das funktioniert eben nur mit modernen, schnellen Rechnern
948320	949880	und auch mit großen Festplatten,
949960	952320	die also Unmengen an Daten speichern können.
952320	955400	Denn viele Daten, das ist eine weitere Voraussetzung,
955480	957840	um eine KI vernünftig zu trainieren.
957920	960320	Reden wir noch über eine bemerkenswerte Tatsache,
960400	962840	nämlich, dass sich Joffrey hinten gar nicht mehr
962920	967520	so uneingeschränkt über KI freut, sondern er hat auch Befürchtungen.
967600	969400	Was konkret befürchtet er?
969480	973520	Also er glaubt, dass die KI Millionen an Arbeitsplätzen vernichten wird,
973600	978240	dass die Algorithmen Wahlen beeinflussen durch gefälschte Videos zum Beispiel,
978320	980720	dass sich mit KI Cyberangriffe anzetteln
980720	984760	und tödliche Viren zur biologischen Kriegsführung entwickeln lassen.
984840	988400	Und er meint sogar, dass KI-Systeme letztlich intelligenter sein werden,
988480	992160	als wir uns schon heute in vielen Bereichen Hausrüberlegen sind.
992240	995280	Um KI ging es auch bei den diesjährigen Nobelpreisen
995360	996720	für Physik und Chemie.
996800	1000520	Darüber sprach ich mit Frank Grotelüschen. Dankeschön.
1000600	1003920	Zum 24. Male wurden gestern Abend in Bielefeld
1004000	1008200	fünf Negativpreise an sogenannte Datenkraken verliehen.
1008320	1011320	So bezeichnet der Bielefelder Datenschutzverein
1011400	1015800	Digitalcourage Unternehmen, Institutionen oder Behörden,
1015880	1019560	die den notwendigen Datenschutz für ihre Kunden oder für Bürger
1019640	1023000	nicht so genau nehmen oder bewusst sogar missachten.
1023080	1025640	Der Negativpreis, eine Big Brother-Figur,
1025720	1029920	soll nach Vorstellung des Vereins die Preisträger nicht lächerlich machen,
1030000	1032280	sondern zum Nachdenken anregen.
1032360	1036600	Und tatsächlich stellten sich bereits einige Preisträger der Diskussion
1036680	1039720	mit ihrem bislang stets wohlgesinnten Publikum.
1039800	1043360	In diesem Jahr war jedoch keiner der fünf neuen Preisträger
1043440	1045040	im voll besetzten Land zu sehen.
1045120	1046560	Wolfgang Neukir berichtet.
1046640	1049880	Zu den prominenten Preisträgern zielt Bundesgesundheitsminister
1049960	1054600	Karl Lauterbach wegen der geplanten nach Auffassung von Digitalcourage
1054680	1057040	unzureichend geschützten Weitergabe
1057120	1061120	von Patientendaten an europäische Interessenten.
1061200	1064320	Dies sei, so der ehemalige Datenschutzbeauftragte
1064320	1067360	des Landesschleswig-Holstein Thilo Weichert,
1067440	1070600	das Ende der ärztlichen Schweigepflicht.
1070680	1074800	Zugang zu den pseudonymen Daten bekommt jeder.
1074880	1079600	Jedermann kann die anfordern, ohne auch nur eine Qualifikation
1079680	1082840	oder eine Fachkenntnis nachweisen zu müssen.
1082920	1085280	Die größte Unverschämtheit aber ist,
1085360	1088560	dass den Betroffenen bei der Sekundärnutzung
1088640	1092120	von pseudonymen Daten kein Auskunst- und kein Widersprucherecht
1092200	1093280	zugestanden wird.
1093320	1098040	Peris ist das Kürzel-für-Personen-Identifikationssystem,
1098120	1102080	dessen mobile Kameras anhand biometrischer Merkwale
1102160	1105160	Tatverdächtige in Echtzeit erkennen.
1105240	1110000	Letzteres, die Echtzeiterkennung ist aber der Polizei streng verboten.
1110080	1115160	Nach einem ersten Test in Sachsen wurde das System dort abgeschaltet,
1115240	1118240	vermutlich aber an die Hamburger Polizei verliehen,
1118320	1123200	die das Echtzeitverbot trickreich interpretiert haben soll.
1123280	1127120	Laudator Frank Rosengardt vom Chaos Computer Club.
1127200	1129960	Die Software Peris wird so eingestellt,
1130040	1132600	dass die Erkennung nicht in Echtzeit passiert,
1132680	1134720	sondern ein bisschen später.
1134800	1138200	Was später bedeutet, ist allerdings nur irgendwo festgeschrieben.
1138280	1140920	Wahrscheinlich reichen einige Sekunden Verzögerung,
1141000	1143840	um nicht in Echtzeit zu arbeiten.
1143920	1146520	Hier wird die gesetzlich erlaubte technische,
1146600	1149840	kurzfristige Speicherung von Bildern praktisch missbraucht,
1149920	1151880	um sie für eine Gesichtserkennung zu nutzen.
1151960	1157080	Das war der Jury einen Big Brother für Sachsens Innenminister Armin Schuster wert.
1157160	1163120	Und der Arbeitsrechtler Peter Wedde fand auch die verwirrenden Geschäftsbedingungen
1163200	1168200	der beiden chinesischen Handelsplattformen Teemu und Shein
1168280	1170960	seien eine Datenschutz-Zitrone wert,
1171040	1176600	nämlich für die Kunst alle rechtlichen Risiken auf Kunden abzuwälzen.
1176680	1179560	Wer als Importeur in China Textilien für 300 Euro bestellt
1179560	1182360	und sie in Teillieferung zu 100 Euro bekommt,
1182440	1188080	dem kann es passieren, dass der Zoll dafür rund 100 Euro an Gebühren nachfordert.
1188160	1191480	Entdeckt der Zoll ein Plagiat oder eine Produktfälschung,
1191560	1195040	darf er die Hersteller der Originale über den Importeur informieren.
1195120	1199280	Aus ganz billig kann so ganz schnell ziemlich teuer werden.
1199360	1203800	Auch die Deutsche Bahn verdiene nach Meinung der Jury einen Big Brother,
1203880	1206720	denn deren sogenannter Digitalzwang,
1206840	1208400	zum Beispiel bei der Bahncard,
1208480	1214880	erschwere zunehmend anonymes Reisen für Menschen ohne Handy und E-Mail-Konto
1214960	1217080	als lästigen Trend.
1217160	1219440	So heißt eine neue Big Brother Kategorie,
1219520	1222920	empfindet Digitalcourage-Mitgründerin Rena Tangens
1223000	1225920	den sogenannten Technik-Paternalismus,
1226000	1232200	jene Hörigkeit auf allgegenwärtig bevormundende, piepsende digitale Geräte,
1232280	1235040	übergriffige Navis und Suchmaschinen.
1235160	1237240	Je weniger Überblick wir selber haben,
1237320	1240560	desto anfälliger werden wir für Manipulation.
1240640	1245120	Schau hier hin, geh dorthin, kauf das.
1245200	1247320	Hintergrundtext, wir kennen dich so gut,
1247400	1249480	dass wir das alles für dich entscheiden können.
1249560	1252240	Technik-Paternalismus sei darauf angelegt,
1252320	1255240	so Tangens, Menschen zu entmündigen
1255320	1257600	oder gar nicht erst mündig werden zu lassen.
1257680	1260160	Wir haben es in der Hand, andere Technik zu fordern,
1260240	1264400	Monopole aufzubrechen und die Rahmenbedingungen anders zu gestalten.
1264480	1268560	Lobby-Control und Rebalance Now, zwei deutsche Organisationen,
1268640	1271640	haben gemeinsam mit anderen Organisationen
1271720	1276160	ein White Paper erarbeitet, das beschreibt, wie das gelingen kann.
1276240	1279360	Beyond Big Tech ist ein langfristiges Projekt,
1279440	1282120	das Mut und Hartnäckigkeit erfordert.
1282200	1284440	Wolfgang Nölke über die Preisverleihung
1284520	1287520	des Big Brother Awards gestern Abend in Bielefeld.
1288320	1292840	Digitales Logbuch, Computer und Kommunikation.
1293800	1297800	Eintrag 17.0.23.
1300960	1303800	Im Oktober, als die Blätter gefallen waren,
1303880	1307240	schien es ruhig auf den Friedhöfen der Welt zu sein.
1307320	1311560	Ahorn, Efeu, Buchenblätter in Braun lagen auf den Gräbern.
1311640	1314960	Wie konnte da jemand auf die Idee von Zombies kommen,
1315040	1318840	dumpfen Kreaturen, die stolperten und Menschen totbissen?
1318920	1321160	Totaler Quatsch.
1321240	1323400	Während wir das Denken und fast schon
1323480	1326120	in einen netten Nachmittagsschlaf versinken,
1326200	1329840	tut sich ein Spalt auf, schiebt die Blätter zur Seite,
1329920	1333480	heraussteigt tatsächlich etwas Zombieartiges,
1333560	1335080	nennt sich Windows,
1335160	1338200	schleppt mit lautem Geklappere etwas hinter sich her,
1338280	1340960	das heißt, MS-DOS.
1341040	1345200	Ah nee, gehen wir lieber in die Kapelle, bevor was passiert.
1345280	1349240	Nützt natürlich nichts, denn Zombies überwinden alle Hindernisse,
1349280	1351840	jedenfalls im Horrorfilm.
1351920	1353920	Während wir es trotzdem versuchen,
1354000	1356800	sehen wir ein weiteres Grab, das sich aufspaltet,
1356880	1360040	da kriecht ein Zombie namens Apple heraus,
1360120	1365800	im Schlepptau fiese Kleinere mit dem Namen iPod und iPhone.
1365880	1368040	Ah nee reißt das Portal zur Kapelle auf,
1368120	1371120	will stürzen hinein und verrammeln die Tür von innen.
1371200	1375440	Draußen klopfen jetzt laut Windows und Apple dagegen.
1375520	1379000	Hast du Angst? Du zitterst ja richtig, fragt Ah nee.
1379080	1380800	Ja, ich hab Angst.
1380880	1384280	Vor streinalten Computern und Betriebssystemen?
1384360	1387200	Ah nee, das sind IT-Zombies.
1387280	1389240	Der Lärm lässt nach.
1389320	1392280	Die Idee, bald die Tür zu öffnen und nach Hause gehen zu können,
1392360	1394080	müssen wir leider knicken.
1394160	1398280	Denn mit einem großen Krach bricht das Kapellenfenster auf
1398360	1400560	und hinter den Scherben hereingeflogen
1400640	1404440	kommt ein fürchterlich gefährlich aussehendes Zombie.
1404480	1409360	Ich bin Google, grunzt das Zombie, während es auf uns niederkommt.
1409440	1414000	Ich war die erste große Datenkrake und nannte mich Suchmaschine.
1414080	1416040	Ich suche auch heute noch alles.
1416120	1418960	Gut, dass ich euch zwei gefunden habe.
1419040	1420840	Kommt näher, ihr Süßen.
1420920	1424200	Darf ich euch? Ich darf euch doch.
1424280	1426440	Widerrede ist zwecklos.
1426520	1430200	Zu allem Überfluss springt jetzt auch noch die Kapellentüre auf.
1430280	1434680	Kichernd kommen die Apple und Windows-Zombies mit ihrer Nachhut herein.
1434760	1439200	Schreckliches Ende dieses netten Herbst-Spaziergangs.
1439200	1441560	Das digitales Logbuch.
1441640	1445680	Name Schönherr Maximilian Vollklaus.
